Dag;Datum;Fadjr;Shoroeq;Dhohr;Asr;Magreb;Ishaa
Di;29-apr;4:23;6:15;13:38;17:39;21:01;22:52
Woe;30-apr;4:20;6:13;13:37;17:39;21:03;22:55
Do;1-mei;4:17;6:11;13:37;17:40;21:05;22:58
Vr;2-mei;4:14;6:09;13:37;17:41;21:07;23:00
Za;3-mei;4:11;6:07;13:37;17:42;21:08;23:03
Zo;4-mei;4:05;6:05;13:37;17:42;21:10;23:08
Ma;5-mei;4:04;6:03;13:37;17:43;21:12;23:09
Di;6-mei;4:03;6:01;13:37;17:44;21:13;23:10
Woe;7-mei;4:02;6:00;13:37;17:44;21:15;23:11
Do;8-mei;4:01;5:58;13:37;17:45;21:16;23:12
Vr;9-mei;4:00;5:56;13:37;17:45;21:18;23:12
Za;10-mei;3:59;5:54;13:37;17:46;21:20;23:13
Zo;11-mei;3:58;5:53;13:37;17:47;21:21;23:14
Ma;12-mei;3:57;5:51;13:36;17:47;21:23;23:15
Di;13-mei;3:56;5:49;13:36;17:48;21:25;23:16
Woe;14-mei;3:55;5:48;13:36;17:49;21:26;23:17
Do;15-mei;3:54;5:46;13:36;17:49;21:28;23:18
Vr;16-mei;3:53;5:45;13:36;17:50;21:29;23:19
Za;17-mei;3:53;5:43;13:36;17:50;21:31;23:19
Zo;18-mei;3:52;5:42;13:37;17:51;21:32;23:20
Ma;19-mei;3:51;5:40;13:37;17:52;21:34;23:21
Di;20-mei;3:50;5:39;13:37;17:52;21:35;23:22
Woe;21-mei;3:50;5:38;13:37;17:53;21:37;23:23
Do;22-mei;3:49;5:36;13:37;17:53;21:38;23:24
Vr;23-mei;3:48;5:35;13:37;17:54;21:39;23:24
Za;24-mei;3:47;5:34;13:37;17:54;21:41;23:25
Zo;25-mei;3:47;5:33;13:37;17:55;21:42;23:26
Ma;26-mei;3:46;5:31;13:37;17:55;21:44;23:27
Di;27-mei;3:46;5:30;13:37;17:56;21:45;23:27
Woe;28-mei;3:45;5:29;13:37;17:57;21:46;23:28
